From (presynaptic type),To (postsynaptic type)
CA3 Bistratified,CA3 Axo-Axonic
CA3 Bistratified,CA3 Horizontal AA
CA3 Bistratified,CA3 Basket
CA3 Bistratified,CA3 BC CCK+
CA3 Bistratified,CA3 Bistratified
CA3 Bistratified,CA3 IS Oriens
CA3 Bistratified,CA3 IS Quad
CA3 Bistratified,CA3 Ivy
CA3 Bistratified,CA3 LMR-Targeting
CA3 Bistratified,CA3 Lucidum LAX
CA3 Bistratified,CA3 Lucidum ORAX
CA3 Bistratified,CA3 Lucidum-Radiatum
CA3 Bistratified,CA3 Spiny Lucidum
CA3 Bistratified,CA3 Mossy Fiber-Associated
CA3 Bistratified,CA3 MFA ORDEN
CA3 Bistratified,CA3 O-LM
CA3 Bistratified,CA3 QuadD-LM
CA3 Bistratified,CA3 Radiatum
CA3 Bistratified,CA3 R-LM
CA3 Bistratified,CA3 SO-SO
CA3 Bistratified,CA3 Trilaminar
CA3 Bistratified,CA2 Wide-Arbor BC
CA3 IS Oriens,CA3 Axo-Axonic
CA3 IS Oriens,CA3 Horizontal AA
CA3 IS Oriens,CA3 Basket
CA3 IS Oriens,CA3 BC CCK+
CA3 IS Oriens,CA3 Bistratified
CA3 IS Oriens,CA3 IS Oriens
CA3 IS Oriens,CA3 IS Quad
CA3 IS Oriens,CA3 Ivy
CA3 IS Oriens,CA3 LMR-Targeting
CA3 IS Oriens,CA3 Lucidum LAX
CA3 IS Oriens,CA3 Lucidum ORAX
CA3 IS Oriens,CA3 Lucidum-Radiatum
CA3 IS Oriens,CA3 Spiny Lucidum
CA3 IS Oriens,CA3 Mossy Fiber-Associated
CA3 IS Oriens,CA3 MFA ORDEN
CA3 IS Oriens,CA3 O-LM
CA3 IS Oriens,CA3 QuadD-LM
CA3 IS Oriens,CA3 Radiatum
CA3 IS Oriens,CA3 R-LM
CA3 IS Oriens,CA3 SO-SO
CA3 IS Oriens,CA3 Trilaminar
CA3 IS Oriens,CA2 Wide-Arbor BC
CA3 IS Quad,DG AIPRIM
CA3 IS Quad,DG Axo-Axonic
CA3 IS Quad,DG Basket
CA3 IS Quad,DG BC CCK+
CA3 IS Quad,DG HICAP
CA3 IS Quad,DG HIPP
CA3 IS Quad,DG HIPROM
CA3 IS Quad,DG MOLAX
CA3 IS Quad,DG Outer Molecular Layer
CA3 IS Quad,DG Total Molecular Layer
CA3 IS Quad,CA3 Axo-Axonic
CA3 IS Quad,CA3 Horizontal AA
CA3 IS Quad,CA3 Basket
CA3 IS Quad,CA3 BC CCK+
CA3 IS Quad,CA3 Bistratified
CA3 IS Quad,CA3 IS Oriens
CA3 IS Quad,CA3 IS Quad
CA3 IS Quad,CA3 Ivy
CA3 IS Quad,CA3 LMR-Targeting
CA3 IS Quad,CA3 Lucidum LAX
CA3 IS Quad,CA3 Lucidum ORAX
CA3 IS Quad,CA3 Lucidum-Radiatum
CA3 IS Quad,CA3 Spiny Lucidum
CA3 IS Quad,CA3 Mossy Fiber-Associated
CA3 IS Quad,CA3 MFA ORDEN
CA3 IS Quad,CA3 O-LM
CA3 IS Quad,CA3 QuadD-LM
CA3 IS Quad,CA3 Radiatum
CA3 IS Quad,CA3 R-LM
CA3 IS Quad,CA3 SO-SO
CA3 IS Quad,CA3 Trilaminar
CA3 IS Quad,CA2 Wide-Arbor BC
CA3 Ivy,CA3 Pyramidal
CA3 Ivy,CA3c Pyramidal
CA3 Ivy,CA3 Giant
CA3 Ivy,CA3 Granule
CA3 Ivy,CA3 Axo-Axonic
CA3 Ivy,CA3 Horizontal AA
CA3 Ivy,CA3 Basket
CA3 Ivy,CA3 BC CCK+
CA3 Ivy,CA3 Bistratified
CA3 Ivy,CA3 IS Oriens
CA3 Ivy,CA3 IS Quad
CA3 Ivy,CA3 Ivy
CA3 Ivy,CA3 LMR-Targeting
CA3 Ivy,CA3 Lucidum LAX
CA3 Ivy,CA3 Lucidum ORAX
CA3 Ivy,CA3 Lucidum-Radiatum
CA3 Ivy,CA3 Spiny Lucidum
CA3 Ivy,CA3 Mossy Fiber-Associated
CA3 Ivy,CA3 MFA ORDEN
CA3 Ivy,CA3 O-LM
CA3 Ivy,CA3 QuadD-LM
CA3 Ivy,CA3 Radiatum
CA3 Ivy,CA3 R-LM
CA3 Ivy,CA3 SO-SO
CA3 Ivy,CA3 Trilaminar
CA3 Ivy,CA2 Wide-Arbor BC
CA3 LMR-Targeting,CA3 Pyramidal
CA3 LMR-Targeting,CA3c Pyramidal
CA3 LMR-Targeting,CA3 Giant
CA3 LMR-Targeting,CA3 Granule
CA3 LMR-Targeting,CA3 Axo-Axonic
CA3 LMR-Targeting,CA3 Basket
CA3 LMR-Targeting,CA3 BC CCK+
CA3 LMR-Targeting,CA3 Bistratified
CA3 LMR-Targeting,CA3 IS Quad
CA3 LMR-Targeting,CA3 Ivy
CA3 LMR-Targeting,CA3 LMR-Targeting
CA3 LMR-Targeting,CA3 Lucidum LAX
CA3 LMR-Targeting,CA3 Lucidum ORAX
CA3 LMR-Targeting,CA3 Lucidum-Radiatum
CA3 LMR-Targeting,CA3 Mossy Fiber-Associated
CA3 LMR-Targeting,CA3 MFA ORDEN
