From (presynaptic type),To (postsynaptic type)
CA1 Neurogliaform,CA1 Axo-Axonic
CA1 Neurogliaform,CA1 Basket
CA1 Neurogliaform,CA1 BC CCK+
CA1 Neurogliaform,CA1 IS LMO-O
CA1 Neurogliaform,CA1 IS LM-R
CA1 Neurogliaform,CA1 IS LMR-R
CA1 Neurogliaform,CA1 IS O-Target QuadD
CA1 Neurogliaform,CA1 LMR
CA1 Neurogliaform,CA1 LMR Projecting
CA1 Neurogliaform,CA1 Neurogliaform
CA1 Neurogliaform,CA1 NGF Projecting
CA1 Neurogliaform,CA1 Oriens/Alveus
CA1 Neurogliaform,CA1 Perforant Path-Assoc
CA1 Neurogliaform,CA1 PPA QuadD
CA1 Neurogliaform,CA1 Quadrilaminar
CA1 Neurogliaform,CA1 Schaffer Collateral-Assoc
CA1 Neurogliaform,CA1 Radial Trilaminar
CA1 NGF Projecting,DG Granule
CA1 NGF Projecting,DG Hilar Ectopic Granule
CA1 NGF Projecting,DG Semilunar Granule
CA1 NGF Projecting,DG Mossy MOLDEN
CA1 NGF Projecting,DG AIPRIM
CA1 NGF Projecting,DG Axo-Axonic
CA1 NGF Projecting,DG Basket
CA1 NGF Projecting,DG BC CCK+
CA1 NGF Projecting,DG HICAP
CA1 NGF Projecting,DG MOLAX
CA1 NGF Projecting,DG MOPP
CA1 NGF Projecting,DG Neurogliaform
CA1 NGF Projecting,DG Outer Molecular Layer
CA1 NGF Projecting,DG Total Molecular Layer
CA1 NGF Projecting,CA1 Pyramidal
CA1 NGF Projecting,CA1 Superficial Pyramidal
CA1 NGF Projecting,CA1 Deep Pyramidal
CA1 NGF Projecting,CA1 Cajal-Retzius
CA1 NGF Projecting,CA1 Radiatum Giant
CA1 NGF Projecting,CA1 Axo-Axonic
CA1 NGF Projecting,CA1 Basket
CA1 NGF Projecting,CA1 BC CCK+
CA1 NGF Projecting,CA1 IS LMO-O
CA1 NGF Projecting,CA1 IS LM-R
CA1 NGF Projecting,CA1 IS LMR-R
CA1 NGF Projecting,CA1 IS O-Target QuadD
CA1 NGF Projecting,CA1 LMR
CA1 NGF Projecting,CA1 LMR Projecting
CA1 NGF Projecting,CA1 Neurogliaform
CA1 NGF Projecting,CA1 NGF Projecting
CA1 NGF Projecting,CA1 Oriens/Alveus
CA1 NGF Projecting,CA1 Perforant Path-Assoc
CA1 NGF Projecting,CA1 PPA QuadD
CA1 NGF Projecting,CA1 Quadrilaminar
CA1 NGF Projecting,CA1 Schaffer Collateral-Assoc
CA1 NGF Projecting,CA1 Radial Trilaminar
CA1 O-LM,CA1 Pyramidal
CA1 O-LM,CA1 Superficial Pyramidal
CA1 O-LM,CA1 Deep Pyramidal
CA1 O-LM,CA1 Cajal-Retzius
CA1 O-LM,CA1 Radiatum Giant
CA1 O-LM,CA1 Axo-Axonic
CA1 O-LM,CA1 Basket
CA1 O-LM,CA1 BC CCK+
CA1 O-LM,CA1 IS LMO-O
CA1 O-LM,CA1 IS LM-R
CA1 O-LM,CA1 IS LMR-R
CA1 O-LM,CA1 IS O-Target QuadD
CA1 O-LM,CA1 LMR
CA1 O-LM,CA1 LMR Projecting
CA1 O-LM,CA1 Neurogliaform
CA1 O-LM,CA1 NGF Projecting
CA1 O-LM,CA1 Oriens/Alveus
CA1 O-LM,CA1 Perforant Path-Assoc
CA1 O-LM,CA1 PPA QuadD
CA1 O-LM,CA1 Quadrilaminar
CA1 O-LM,CA1 Schaffer Collateral-Assoc
CA1 O-LM,CA1 Radial Trilaminar
CA1 Recurrent O-LM,CA1 Pyramidal
CA1 Recurrent O-LM,CA1 Superficial Pyramidal
CA1 Recurrent O-LM,CA1 Deep Pyramidal
CA1 Recurrent O-LM,CA1 Cajal-Retzius
CA1 Recurrent O-LM,CA1 Radiatum Giant
CA1 Recurrent O-LM,CA1 Axo-Axonic
CA1 Recurrent O-LM,CA1 Horizontal AA
CA1 Recurrent O-LM,CA1 Back-Projection
CA1 Recurrent O-LM,CA1 Basket
CA1 Recurrent O-LM,CA1 BC CCK+
CA1 Recurrent O-LM,CA1 Horizontal BC
CA1 Recurrent O-LM,CA1 Bistratified
CA1 Recurrent O-LM,CA1 C-Bistratified
CA1 Recurrent O-LM,CA1 IS LMO-O
CA1 Recurrent O-LM,CA1 IS LM-R
CA1 Recurrent O-LM,CA1 IS LMR-R
CA1 Recurrent O-LM,CA1 IS O-R
CA1 Recurrent O-LM,CA1 IS O-Target QuadD
CA1 Recurrent O-LM,CA1 IS RO-O
CA1 Recurrent O-LM,CA1 Ivy
CA1 Recurrent O-LM,CA1 LMR
CA1 Recurrent O-LM,CA1 LMR Projecting
CA1 Recurrent O-LM,CA1 Neurogliaform
CA1 Recurrent O-LM,CA1 NGF Projecting
CA1 Recurrent O-LM,CA1 O-LM
CA1 Recurrent O-LM,CA1 Recurrent O-LM
CA1 Recurrent O-LM,CA1 O-LMR
CA1 Recurrent O-LM,CA1 Oriens/Alveus
CA1 Recurrent O-LM,CA1 Oriens-Bistratified
CA1 Recurrent O-LM,CA1 Oriens-Bistratified Projecting
CA1 Recurrent O-LM,CA1 OR-LM
CA1 Recurrent O-LM,CA1 Perforant Path-Assoc
CA1 Recurrent O-LM,CA1 PPA QuadD
CA1 Recurrent O-LM,CA1 Quadrilaminar
CA1 Recurrent O-LM,CA1 Schaffer Collateral-Assoc
CA1 Recurrent O-LM,CA1 SC-Receiving R-Targeting
CA1 Recurrent O-LM,CA1 SO-SO
CA1 Recurrent O-LM,CA1 Hipp-SUB Proj ENK+
CA1 Recurrent O-LM,CA1 Trilaminar
CA1 Recurrent O-LM,CA1 Radial Trilaminar
CA1 O-LMR,CA1 Pyramidal
CA1 O-LMR,CA1 Superficial Pyramidal
CA1 O-LMR,CA1 Deep Pyramidal
CA1 O-LMR,CA1 Cajal-Retzius
CA1 O-LMR,CA1 Radiatum Giant
CA1 O-LMR,CA1 Axo-Axonic
CA1 O-LMR,CA1 Basket
CA1 O-LMR,CA1 BC CCK+
CA1 O-LMR,CA1 Bistratified
CA1 O-LMR,CA1 C-Bistratified
CA1 O-LMR,CA1 IS LMO-O
CA1 O-LMR,CA1 IS LM-R
CA1 O-LMR,CA1 IS LMR-R
CA1 O-LMR,CA1 IS O-Target QuadD
CA1 O-LMR,CA1 IS R-O
CA1 O-LMR,CA1 IS RO-O
CA1 O-LMR,CA1 Ivy
CA1 O-LMR,CA1 LMR
CA1 O-LMR,CA1 LMR Projecting
CA1 O-LMR,CA1 Neurogliaform
CA1 O-LMR,CA1 NGF Projecting
CA1 O-LMR,CA1 Oriens/Alveus
CA1 O-LMR,CA1 OR-LM
CA1 O-LMR,CA1 Perforant Path-Assoc
CA1 O-LMR,CA1 PPA QuadD
CA1 O-LMR,CA1 Quadrilaminar
CA1 O-LMR,CA1 Radiatum
CA1 O-LMR,CA1 R-Recv Apical-Target
CA1 O-LMR,CA1 Schaffer Collateral-Assoc
CA1 O-LMR,CA1 SC-Receiving R-Targeting
CA1 O-LMR,CA1 Hipp-SUB Proj ENK+
CA1 O-LMR,CA1 Radial Trilaminar
CA1 Oriens/Alveus,CA2 Wide-Arbor BC
CA1 Oriens/Alveus,CA1 Pyramidal
CA1 Oriens/Alveus,CA1 Superficial Pyramidal
CA1 Oriens/Alveus,CA1 Deep Pyramidal
CA1 Oriens/Alveus,CA1 Axo-Axonic
CA1 Oriens/Alveus,CA1 Horizontal AA
CA1 Oriens/Alveus,CA1 Back-Projection
CA1 Oriens/Alveus,CA1 Basket
CA1 Oriens/Alveus,CA1 BC CCK+
CA1 Oriens/Alveus,CA1 Horizontal BC
CA1 Oriens/Alveus,CA1 Bistratified
CA1 Oriens/Alveus,CA1 C-Bistratified
CA1 Oriens/Alveus,CA1 IS LMO-O
CA1 Oriens/Alveus,CA1 IS O-R
CA1 Oriens/Alveus,CA1 IS O-Target QuadD
CA1 Oriens/Alveus,CA1 IS R-O
CA1 Oriens/Alveus,CA1 IS RO-O
CA1 Oriens/Alveus,CA1 Ivy
CA1 Oriens/Alveus,CA1 O-LM
CA1 Oriens/Alveus,CA1 Recurrent O-LM
CA1 Oriens/Alveus,CA1 O-LMR
CA1 Oriens/Alveus,CA1 Oriens/Alveus
CA1 Oriens/Alveus,CA1 Oriens-Bistratified
CA1 Oriens/Alveus,CA1 Oriens-Bistratified Projecting
CA1 Oriens/Alveus,CA1 OR-LM
CA1 Oriens/Alveus,CA1 PPA QuadD
CA1 Oriens/Alveus,CA1 Quadrilaminar
CA1 Oriens/Alveus,CA1 SC-Receiving R-Targeting
CA1 Oriens/Alveus,CA1 SO-SO
CA1 Oriens/Alveus,CA1 Hipp-SUB Proj ENK+
CA1 Oriens/Alveus,CA1 Trilaminar
CA1 Oriens/Alveus,CA1 Radial Trilaminar
CA1 Oriens-Bistratified,CA1 Pyramidal
CA1 Oriens-Bistratified,CA1 Axo-Axonic
CA1 Oriens-Bistratified,CA1 Horizontal AA
CA1 Oriens-Bistratified,CA1 Back-Projection
CA1 Oriens-Bistratified,CA1 Basket
CA1 Oriens-Bistratified,CA1 BC CCK+
CA1 Oriens-Bistratified,CA1 Horizontal BC
CA1 Oriens-Bistratified,CA1 Bistratified
CA1 Oriens-Bistratified,CA1 C-Bistratified
CA1 Oriens-Bistratified,CA1 IS LMO-O
CA1 Oriens-Bistratified,CA1 IS LMR-R
CA1 Oriens-Bistratified,CA1 IS O-R
CA1 Oriens-Bistratified,CA1 IS O-Target QuadD
CA1 Oriens-Bistratified,CA1 IS R-O
CA1 Oriens-Bistratified,CA1 IS RO-O
CA1 Oriens-Bistratified,CA1 Ivy
CA1 Oriens-Bistratified,CA1 LMR
CA1 Oriens-Bistratified,CA1 LMR Projecting
CA1 Oriens-Bistratified,CA1 O-LM
CA1 Oriens-Bistratified,CA1 Recurrent O-LM
CA1 Oriens-Bistratified,CA1 O-LMR
CA1 Oriens-Bistratified,CA1 Oriens/Alveus
CA1 Oriens-Bistratified,CA1 Oriens-Bistratified
CA1 Oriens-Bistratified,CA1 Oriens-Bistratified Projecting
CA1 Oriens-Bistratified,CA1 OR-LM
CA1 Oriens-Bistratified,CA1 Perforant Path-Assoc
CA1 Oriens-Bistratified,CA1 PPA QuadD
CA1 Oriens-Bistratified,CA1 Quadrilaminar
CA1 Oriens-Bistratified,CA1 Radiatum
CA1 Oriens-Bistratified,CA1 R-Recv Apical-Target
CA1 Oriens-Bistratified,CA1 Schaffer Collateral-Assoc
CA1 Oriens-Bistratified,CA1 SC-Receiving R-Targeting
CA1 Oriens-Bistratified,CA1 SO-SO
CA1 Oriens-Bistratified,CA1 Hipp-SUB Proj ENK+
CA1 Oriens-Bistratified,CA1 Trilaminar
CA1 Oriens-Bistratified,CA1 Radial Trilaminar
CA1 Oriens-Bistratified Projecting,CA2 Wide-Arbor BC
CA1 Oriens-Bistratified Projecting,CA1 Pyramidal
CA1 Oriens-Bistratified Projecting,CA1 Superficial Pyramidal
CA1 Oriens-Bistratified Projecting,CA1 Deep Pyramidal
CA1 Oriens-Bistratified Projecting,CA1 Cajal-Retzius
CA1 Oriens-Bistratified Projecting,CA1 Radiatum Giant
CA1 Oriens-Bistratified Projecting,CA1 Axo-Axonic
CA1 Oriens-Bistratified Projecting,CA1 Horizontal AA
CA1 Oriens-Bistratified Projecting,CA1 Back-Projection
CA1 Oriens-Bistratified Projecting,CA1 Basket
CA1 Oriens-Bistratified Projecting,CA1 BC CCK+
CA1 Oriens-Bistratified Projecting,CA1 Horizontal BC
CA1 Oriens-Bistratified Projecting,CA1 Bistratified
CA1 Oriens-Bistratified Projecting,CA1 C-Bistratified
CA1 Oriens-Bistratified Projecting,CA1 IS LMO-O
CA1 Oriens-Bistratified Projecting,CA1 IS LM-R
CA1 Oriens-Bistratified Projecting,CA1 IS LMR-R
CA1 Oriens-Bistratified Projecting,CA1 IS O-R
CA1 Oriens-Bistratified Projecting,CA1 IS O-Target QuadD
CA1 Oriens-Bistratified Projecting,CA1 IS R-O
CA1 Oriens-Bistratified Projecting,CA1 IS RO-O
CA1 Oriens-Bistratified Projecting,CA1 Ivy
CA1 Oriens-Bistratified Projecting,CA1 LMR
CA1 Oriens-Bistratified Projecting,CA1 LMR Projecting
CA1 Oriens-Bistratified Projecting,CA1 Neurogliaform
CA1 Oriens-Bistratified Projecting,CA1 NGF Projecting
CA1 Oriens-Bistratified Projecting,CA1 O-LM
CA1 Oriens-Bistratified Projecting,CA1 Recurrent O-LM
CA1 Oriens-Bistratified Projecting,CA1 O-LMR
CA1 Oriens-Bistratified Projecting,CA1 Oriens/Alveus
CA1 Oriens-Bistratified Projecting,CA1 Oriens-Bistratified
CA1 Oriens-Bistratified Projecting,CA1 Oriens-Bistratified Projecting
CA1 Oriens-Bistratified Projecting,CA1 OR-LM
CA1 Oriens-Bistratified Projecting,CA1 Perforant Path-Assoc
CA1 Oriens-Bistratified Projecting,CA1 PPA QuadD
CA1 Oriens-Bistratified Projecting,CA1 Quadrilaminar
CA1 Oriens-Bistratified Projecting,CA1 Radiatum
CA1 Oriens-Bistratified Projecting,CA1 R-Recv Apical-Target
CA1 Oriens-Bistratified Projecting,CA1 Schaffer Collateral-Assoc
CA1 Oriens-Bistratified Projecting,CA1 SC-Receiving R-Targeting
CA1 Oriens-Bistratified Projecting,CA1 SO-SO
CA1 Oriens-Bistratified Projecting,CA1 Hipp-SUB Proj ENK+
CA1 Oriens-Bistratified Projecting,CA1 Trilaminar
CA1 Oriens-Bistratified Projecting,CA1 Radial Trilaminar
CA1 Oriens-Bistratified Projecting,Sub EC-Proj Pyramidal
CA1 Oriens-Bistratified Projecting,Sub CA1-Proj Pyramidal
CA1 Oriens-Bistratified Projecting,Sub Axo-axonic
CA1 OR-LM,CA1 Pyramidal
CA1 OR-LM,CA1 Superficial Pyramidal
CA1 OR-LM,CA1 Deep Pyramidal
CA1 OR-LM,CA1 Cajal-Retzius
CA1 OR-LM,CA1 Radiatum Giant
CA1 OR-LM,CA1 Axo-Axonic
CA1 OR-LM,CA1 Basket
CA1 OR-LM,CA1 BC CCK+
CA1 OR-LM,CA1 IS LMO-O
CA1 OR-LM,CA1 IS LM-R
CA1 OR-LM,CA1 IS LMR-R
CA1 OR-LM,CA1 IS O-Target QuadD
CA1 OR-LM,CA1 LMR
CA1 OR-LM,CA1 LMR Projecting
CA1 OR-LM,CA1 Neurogliaform
CA1 OR-LM,CA1 NGF Projecting
CA1 OR-LM,CA1 Oriens/Alveus
CA1 OR-LM,CA1 Perforant Path-Assoc
CA1 OR-LM,CA1 PPA QuadD
CA1 OR-LM,CA1 Quadrilaminar
CA1 OR-LM,CA1 Schaffer Collateral-Assoc
CA1 OR-LM,CA1 Radial Trilaminar
CA1 Perforant Path-Assoc,DG Granule
CA1 Perforant Path-Assoc,DG Hilar Ectopic Granule
CA1 Perforant Path-Assoc,DG Semilunar Granule
CA1 Perforant Path-Assoc,DG Mossy MOLDEN
CA1 Perforant Path-Assoc,DG AIPRIM
CA1 Perforant Path-Assoc,DG Axo-Axonic
CA1 Perforant Path-Assoc,DG Basket
CA1 Perforant Path-Assoc,DG BC CCK+
CA1 Perforant Path-Assoc,DG HICAP
CA1 Perforant Path-Assoc,DG MOLAX
CA1 Perforant Path-Assoc,DG MOPP
CA1 Perforant Path-Assoc,DG Neurogliaform
CA1 Perforant Path-Assoc,DG Outer Molecular Layer
CA1 Perforant Path-Assoc,DG Total Molecular Layer
CA1 Perforant Path-Assoc,CA1 Pyramidal
CA1 Perforant Path-Assoc,CA1 Superficial Pyramidal
CA1 Perforant Path-Assoc,CA1 Deep Pyramidal
CA1 Perforant Path-Assoc,CA1 Cajal-Retzius
CA1 Perforant Path-Assoc,CA1 Radiatum Giant
CA1 Perforant Path-Assoc,CA1 Axo-Axonic
CA1 Perforant Path-Assoc,CA1 Basket
CA1 Perforant Path-Assoc,CA1 BC CCK+
CA1 Perforant Path-Assoc,CA1 IS LMO-O
CA1 Perforant Path-Assoc,CA1 IS LM-R
CA1 Perforant Path-Assoc,CA1 IS LMR-R
CA1 Perforant Path-Assoc,CA1 IS O-Target QuadD
CA1 Perforant Path-Assoc,CA1 LMR
CA1 Perforant Path-Assoc,CA1 LMR Projecting
CA1 Perforant Path-Assoc,CA1 Neurogliaform
CA1 Perforant Path-Assoc,CA1 NGF Projecting
CA1 Perforant Path-Assoc,CA1 Oriens/Alveus
CA1 Perforant Path-Assoc,CA1 Perforant Path-Assoc
CA1 Perforant Path-Assoc,CA1 PPA QuadD
CA1 Perforant Path-Assoc,CA1 Quadrilaminar
CA1 Perforant Path-Assoc,CA1 Schaffer Collateral-Assoc
CA1 Perforant Path-Assoc,CA1 Radial Trilaminar
CA1 Perforant Path-Assoc,Sub EC-Proj Pyramidal
CA1 Perforant Path-Assoc,Sub CA1-Proj Pyramidal
CA1 Perforant Path-Assoc,Sub Axo-axonic
CA1 PPA QuadD,CA1 Axo-Axonic
CA1 PPA QuadD,CA1 Basket
CA1 PPA QuadD,CA1 BC CCK+
CA1 PPA QuadD,CA1 IS LMO-O
CA1 PPA QuadD,CA1 IS LM-R
CA1 PPA QuadD,CA1 IS LMR-R
CA1 PPA QuadD,CA1 IS O-Target QuadD
CA1 PPA QuadD,CA1 LMR
CA1 PPA QuadD,CA1 LMR Projecting
CA1 PPA QuadD,CA1 Neurogliaform
CA1 PPA QuadD,CA1 NGF Projecting
CA1 PPA QuadD,CA1 Oriens/Alveus
CA1 PPA QuadD,CA1 Perforant Path-Assoc
CA1 PPA QuadD,CA1 PPA QuadD
CA1 PPA QuadD,CA1 Quadrilaminar
CA1 PPA QuadD,CA1 Schaffer Collateral-Assoc
CA1 PPA QuadD,CA1 Radial Trilaminar
CA1 Quadrilaminar,CA2 Wide-Arbor BC
CA1 Quadrilaminar,CA1 Pyramidal
CA1 Quadrilaminar,CA1 Axo-Axonic
CA1 Quadrilaminar,CA1 Horizontal AA
CA1 Quadrilaminar,CA1 Back-Projection
CA1 Quadrilaminar,CA1 Basket
CA1 Quadrilaminar,CA1 BC CCK+
CA1 Quadrilaminar,CA1 Horizontal BC
CA1 Quadrilaminar,CA1 Bistratified
CA1 Quadrilaminar,CA1 C-Bistratified
CA1 Quadrilaminar,CA1 IS LMO-O
CA1 Quadrilaminar,CA1 IS LM-R
CA1 Quadrilaminar,CA1 IS LMR-R
CA1 Quadrilaminar,CA1 IS O-R
CA1 Quadrilaminar,CA1 IS O-Target QuadD
CA1 Quadrilaminar,CA1 IS R-O
CA1 Quadrilaminar,CA1 IS RO-O
CA1 Quadrilaminar,CA1 Ivy
CA1 Quadrilaminar,CA1 LMR
CA1 Quadrilaminar,CA1 LMR Projecting
CA1 Quadrilaminar,CA1 Neurogliaform
CA1 Quadrilaminar,CA1 NGF Projecting
CA1 Quadrilaminar,CA1 O-LM
CA1 Quadrilaminar,CA1 Recurrent O-LM
CA1 Quadrilaminar,CA1 O-LMR
CA1 Quadrilaminar,CA1 Oriens/Alveus
CA1 Quadrilaminar,CA1 Oriens-Bistratified
CA1 Quadrilaminar,CA1 Oriens-Bistratified Projecting
CA1 Quadrilaminar,CA1 OR-LM
CA1 Quadrilaminar,CA1 Perforant Path-Assoc
CA1 Quadrilaminar,CA1 PPA QuadD
CA1 Quadrilaminar,CA1 Quadrilaminar
CA1 Quadrilaminar,CA1 Radiatum
CA1 Quadrilaminar,CA1 R-Recv Apical-Target
CA1 Quadrilaminar,CA1 Schaffer Collateral-Assoc
CA1 Quadrilaminar,CA1 SC-Receiving R-Targeting
CA1 Quadrilaminar,CA1 SO-SO
CA1 Quadrilaminar,CA1 Hipp-SUB Proj ENK+
CA1 Quadrilaminar,CA1 Trilaminar
CA1 Quadrilaminar,CA1 Radial Trilaminar
CA1 Radiatum,CA1 Pyramidal
CA1 Radiatum,CA1 Superficial Pyramidal
CA1 Radiatum,CA1 Deep Pyramidal
CA1 Radiatum,CA1 Radiatum Giant
CA1 Radiatum,CA1 Axo-Axonic
CA1 Radiatum,CA1 Basket
CA1 Radiatum,CA1 BC CCK+
CA1 Radiatum,CA1 Bistratified
CA1 Radiatum,CA1 C-Bistratified
CA1 Radiatum,CA1 IS LMR-R
CA1 Radiatum,CA1 IS O-Target QuadD
CA1 Radiatum,CA1 IS R-O
CA1 Radiatum,CA1 IS RO-O
CA1 Radiatum,CA1 Ivy
CA1 Radiatum,CA1 LMR
CA1 Radiatum,CA1 LMR Projecting
CA1 Radiatum,CA1 Oriens/Alveus
CA1 Radiatum,CA1 OR-LM
CA1 Radiatum,CA1 Perforant Path-Assoc
CA1 Radiatum,CA1 PPA QuadD
CA1 Radiatum,CA1 Quadrilaminar
CA1 Radiatum,CA1 Radiatum
CA1 Radiatum,CA1 R-Recv Apical-Target
CA1 Radiatum,CA1 Schaffer Collateral-Assoc
CA1 Radiatum,CA1 SC-Receiving R-Targeting
CA1 Radiatum,CA1 Hipp-SUB Proj ENK+
CA1 Radiatum,CA1 Radial Trilaminar
CA1 R-Recv Apical-Target,CA1 Pyramidal
CA1 R-Recv Apical-Target,CA1 Superficial Pyramidal
CA1 R-Recv Apical-Target,CA1 Deep Pyramidal
CA1 R-Recv Apical-Target,CA1 Cajal-Retzius
CA1 R-Recv Apical-Target,CA1 Radiatum Giant
CA1 R-Recv Apical-Target,CA1 Axo-Axonic
CA1 R-Recv Apical-Target,CA1 Basket
CA1 R-Recv Apical-Target,CA1 BC CCK+
CA1 R-Recv Apical-Target,CA1 Bistratified
CA1 R-Recv Apical-Target,CA1 C-Bistratified
CA1 R-Recv Apical-Target,CA1 IS LMO-O
CA1 R-Recv Apical-Target,CA1 IS LM-R
CA1 R-Recv Apical-Target,CA1 IS LMR-R
CA1 R-Recv Apical-Target,CA1 IS O-Target QuadD
CA1 R-Recv Apical-Target,CA1 IS R-O
CA1 R-Recv Apical-Target,CA1 IS RO-O
CA1 R-Recv Apical-Target,CA1 Ivy
CA1 R-Recv Apical-Target,CA1 LMR
CA1 R-Recv Apical-Target,CA1 LMR Projecting
CA1 R-Recv Apical-Target,CA1 Neurogliaform
CA1 R-Recv Apical-Target,CA1 NGF Projecting
CA1 R-Recv Apical-Target,CA1 Oriens/Alveus
CA1 R-Recv Apical-Target,CA1 OR-LM
CA1 R-Recv Apical-Target,CA1 Perforant Path-Assoc
CA1 R-Recv Apical-Target,CA1 PPA QuadD
CA1 R-Recv Apical-Target,CA1 Quadrilaminar
CA1 R-Recv Apical-Target,CA1 Radiatum
CA1 R-Recv Apical-Target,CA1 R-Recv Apical-Target
CA1 R-Recv Apical-Target,CA1 Schaffer Collateral-Assoc
CA1 R-Recv Apical-Target,CA1 SC-Receiving R-Targeting
CA1 R-Recv Apical-Target,CA1 Hipp-SUB Proj ENK+
CA1 R-Recv Apical-Target,CA1 Radial Trilaminar
CA1 Schaffer Collateral-Assoc,CA2 Wide-Arbor BC
CA1 Schaffer Collateral-Assoc,CA1 Pyramidal
CA1 Schaffer Collateral-Assoc,CA1 Superficial Pyramidal
CA1 Schaffer Collateral-Assoc,CA1 Deep Pyramidal
CA1 Schaffer Collateral-Assoc,CA1 Radiatum Giant
CA1 Schaffer Collateral-Assoc,CA1 Axo-Axonic
CA1 Schaffer Collateral-Assoc,CA1 Horizontal AA
CA1 Schaffer Collateral-Assoc,CA1 Back-Projection
CA1 Schaffer Collateral-Assoc,CA1 Basket
CA1 Schaffer Collateral-Assoc,CA1 BC CCK+
CA1 Schaffer Collateral-Assoc,CA1 Horizontal BC
CA1 Schaffer Collateral-Assoc,CA1 Bistratified
CA1 Schaffer Collateral-Assoc,CA1 C-Bistratified
CA1 Schaffer Collateral-Assoc,CA1 IS LMO-O
CA1 Schaffer Collateral-Assoc,CA1 IS LMR-R
CA1 Schaffer Collateral-Assoc,CA1 IS O-R
CA1 Schaffer Collateral-Assoc,CA1 IS O-Target QuadD
CA1 Schaffer Collateral-Assoc,CA1 IS R-O
CA1 Schaffer Collateral-Assoc,CA1 IS RO-O
CA1 Schaffer Collateral-Assoc,CA1 Ivy
CA1 Schaffer Collateral-Assoc,CA1 LMR
CA1 Schaffer Collateral-Assoc,CA1 LMR Projecting
CA1 Schaffer Collateral-Assoc,CA1 O-LM
CA1 Schaffer Collateral-Assoc,CA1 Recurrent O-LM
CA1 Schaffer Collateral-Assoc,CA1 O-LMR
CA1 Schaffer Collateral-Assoc,CA1 Oriens/Alveus
CA1 Schaffer Collateral-Assoc,CA1 Oriens-Bistratified
CA1 Schaffer Collateral-Assoc,CA1 Oriens-Bistratified Projecting
CA1 Schaffer Collateral-Assoc,CA1 OR-LM
CA1 Schaffer Collateral-Assoc,CA1 Perforant Path-Assoc
CA1 Schaffer Collateral-Assoc,CA1 PPA QuadD
CA1 Schaffer Collateral-Assoc,CA1 Quadrilaminar
CA1 Schaffer Collateral-Assoc,CA1 Radiatum
CA1 Schaffer Collateral-Assoc,CA1 R-Recv Apical-Target
CA1 Schaffer Collateral-Assoc,CA1 Schaffer Collateral-Assoc
CA1 Schaffer Collateral-Assoc,CA1 SC-Receiving R-Targeting
CA1 Schaffer Collateral-Assoc,CA1 SO-SO
CA1 Schaffer Collateral-Assoc,CA1 Hipp-SUB Proj ENK+
CA1 Schaffer Collateral-Assoc,CA1 Trilaminar
CA1 Schaffer Collateral-Assoc,CA1 Radial Trilaminar
CA1 SC-Receiving R-Targeting,CA1 Axo-Axonic
CA1 SC-Receiving R-Targeting,CA1 Basket
CA1 SC-Receiving R-Targeting,CA1 BC CCK+
CA1 SC-Receiving R-Targeting,CA1 Bistratified
CA1 SC-Receiving R-Targeting,CA1 C-Bistratified
CA1 SC-Receiving R-Targeting,CA1 IS LMR-R
CA1 SC-Receiving R-Targeting,CA1 IS O-Target QuadD
CA1 SC-Receiving R-Targeting,CA1 IS R-O
CA1 SC-Receiving R-Targeting,CA1 IS RO-O
CA1 SC-Receiving R-Targeting,CA1 Ivy
CA1 SC-Receiving R-Targeting,CA1 LMR
CA1 SC-Receiving R-Targeting,CA1 LMR Projecting
CA1 SC-Receiving R-Targeting,CA1 Oriens/Alveus
CA1 SC-Receiving R-Targeting,CA1 OR-LM
CA1 SC-Receiving R-Targeting,CA1 Perforant Path-Assoc
CA1 SC-Receiving R-Targeting,CA1 PPA QuadD
CA1 SC-Receiving R-Targeting,CA1 Quadrilaminar
CA1 SC-Receiving R-Targeting,CA1 Radiatum
CA1 SC-Receiving R-Targeting,CA1 R-Recv Apical-Target
CA1 SC-Receiving R-Targeting,CA1 Schaffer Collateral-Assoc
CA1 SC-Receiving R-Targeting,CA1 SC-Receiving R-Targeting
CA1 SC-Receiving R-Targeting,CA1 Hipp-SUB Proj ENK+
CA1 SC-Receiving R-Targeting,CA1 Radial Trilaminar
CA1 SO-SO,CA1 Pyramidal
CA1 SO-SO,CA1 Superficial Pyramidal
CA1 SO-SO,CA1 Deep Pyramidal
CA1 SO-SO,CA1 Axo-Axonic
CA1 SO-SO,CA1 Horizontal AA
CA1 SO-SO,CA1 Back-Projection
CA1 SO-SO,CA1 Basket
CA1 SO-SO,CA1 BC CCK+
CA1 SO-SO,CA1 Horizontal BC
CA1 SO-SO,CA1 Bistratified
CA1 SO-SO,CA1 C-Bistratified
CA1 SO-SO,CA1 IS LMO-O
CA1 SO-SO,CA1 IS O-R
CA1 SO-SO,CA1 IS O-Target QuadD
CA1 SO-SO,CA1 IS RO-O
CA1 SO-SO,CA1 Ivy
CA1 SO-SO,CA1 O-LM
CA1 SO-SO,CA1 Recurrent O-LM
CA1 SO-SO,CA1 O-LMR
CA1 SO-SO,CA1 Oriens/Alveus
CA1 SO-SO,CA1 Oriens-Bistratified
CA1 SO-SO,CA1 Oriens-Bistratified Projecting
CA1 SO-SO,CA1 OR-LM
CA1 SO-SO,CA1 PPA QuadD
CA1 SO-SO,CA1 Quadrilaminar
CA1 SO-SO,CA1 SC-Receiving R-Targeting
